user_id,book_id,rating
1,29,3.2
1,23,2.9
1,61,2.4
1,74,3.0
1,81,3.0
1,7,3.1
1,37,2.5
1,80,4.1
1,49,2.5
1,66,3.4
2,54,3.1
2,44,2.6
2,63,3.6
2,11,2.9
2,53,2.9
2,47,2.0
2,8,2.7
2,79,3.3
2,12,3.0
2,1,2.9
2,15,2.4
2,51,3.1
2,74,3.2
2,78,2.9
2,31,3.6
2,10,3.0
2,56,3.0
2,23,3.6
2,3,3.2
2,38,2.2
3,25,2.5
3,11,2.9
3,4,3.8
3,62,3.0
3,66,3.2
3,3,4.1
3,17,3.2
3,54,3.0
3,45,2.8
3,81,3.2
3,15,2.9
3,55,2.3
4,17,3.4
4,24,2.6
4,67,2.5
4,57,3.1
4,62,2.9
4,66,3.3
4,73,3.2
4,49,4.2
4,41,2.9
4,27,3.8
4,61,2.8
4,8,2.6
4,20,2.9
4,10,2.5
5,77,2.9
5,49,2.8
5,7,3.7
5,6,2.8
5,78,3.0
5,16,4.4
5,35,4.1
5,48,2.7
5,34,2.6
5,21,3.0
5,76,3.0
5,79,3.7
5,45,2.8
5,26,3.5
5,20,3.1
5,47,3.4
5,81,3.0
5,52,4.0
5,51,3.5
5,61,2.9
5,39,3.1
5,57,3.8
5,68,2.9
5,30,3.2
5,80,4.1
5,50,3.9
5,37,3.4
6,38,3.3
6,15,2.7
6,56,2.3
6,21,2.4
6,48,2.4
6,50,2.4
6,23,2.4
6,40,2.5
6,53,3.7
6,57,3.4
6,81,2.7
6,41,2.4
6,5,2.7
6,37,2.2
6,80,2.7
6,67,3.1
6,10,3.4
7,27,3.6
7,5,2.7
7,69,3.2
7,41,2.6
7,71,2.3
7,80,2.2
7,72,3.0
7,25,2.5
7,45,2.9
7,24,2.8
7,7,3.4
7,68,2.6
7,43,3.8
7,29,2.3
7,79,3.4
7,20,2.6
7,30,2.6
7,13,2.8
7,62,2.8
8,14,3.2
8,53,3.5
8,28,2.2
8,9,2.3
8,40,2.4
8,20,2.5
8,66,3.3
8,11,2.5
8,16,2.9
8,45,3.0
8,46,3.0
8,17,3.8
8,73,2.5
8,63,2.2
8,37,3.1
8,41,2.8
9,4,2.3
9,34,3.4
9,41,3.0
9,32,3.3
9,47,2.4
9,72,2.5
9,45,3.0
9,40,2.3
9,17,2.5
9,52,2.8
9,21,3.4
9,3,3.8
9,65,2.2
9,31,3.0
9,56,3.8
9,12,2.7
9,68,3.5
9,61,2.3
9,18,3.1
9,26,3.3
10,66,3.4
10,45,2.5
10,29,2.9
10,33,3.0
10,28,2.9
10,35,2.3
10,40,3.1
10,21,2.8
10,26,2.8
11,22,3.3
11,72,2.8
11,37,2.7
11,9,3.0
11,24,2.6
11,45,3.1
11,70,3.1
11,42,3.7
11,65,2.6
11,60,2.7
11,75,2.1
11,61,2.8
11,44,3.2
11,54,3.1
11,1,3.9
12,50,3.9
12,37,3.2
12,40,2.7
12,57,2.3
12,8,2.8
12,71,2.9
12,11,2.9
12,56,3.4
12,7,3.6
12,34,2.9
12,59,3.1
12,79,3.3
12,43,2.0
12,33,2.1
12,41,1.9
12,4,2.9
12,42,2.9
12,65,3.6
12,67,2.9
12,77,2.8
12,9,3.2
12,55,3.3
12,70,2.8
12,19,2.5
13,56,2.8
13,79,2.9
13,21,3.0
13,27,3.4
13,39,2.9
13,67,2.4
13,52,3.9
13,9,2.7
13,19,3.2
13,57,2.4
13,71,2.8
13,33,3.3
13,72,2.6
13,11,2.8
13,63,2.5
13,2,2.7
13,16,3.5
13,12,2.7
13,25,3.3
13,34,2.3
13,6,2.7
13,42,2.3
13,43,2.8
